restaurant_id,restaurant_name,location,cuisines,estimated_cost_for_two,rating,votes,cuisine_tags,budget_category
rest_000319,Chinita Real Mexican Food,Indiranagar,Mexican,1200.0,4.4,2658,Mexican,medium
rest_000320,The Yellow Submarine,Bannerghatta Road,"Continental, North Indian, Chinese, Pizza, Thai",1200.0,4.4,2075,Continental|North Indian|Chinese|Pizza|Thai,medium
rest_000321,Hoppipola,Kalyan Nagar,"Continental, Fast Food, European",1200.0,4.4,816,Continental|Fast Food|European,medium
rest_000322,Sotally Tober,Koramangala 4Th Block,"Asian, Burger, Pizza, Chinese, Finger Food",1200.0,4.4,4079,Asian|Burger|Pizza|Chinese|Finger Food,medium
rest_000323,Sattvam,Sadashiv Nagar,"North Indian, South Indian",1200.0,4.4,2127,North Indian|South Indian,medium
rest_000324,Taiki,Indiranagar,"Asian, Japanese, Korean, Thai, Sushi",1200.0,4.4,139,Asian|Japanese|Korean|Thai|Sushi,medium
rest_000325,Indigo X II P,Hsr,"Finger Food, Continental, Pizza, Asian, North Indian",1250.0,4.4,243,Finger Food|Continental|Pizza|Asian|North Indian,medium
rest_000326,The Globe Grub,Btm,"Continental, North Indian, Asian, Italian",1300.0,4.4,201,Continental|North Indian|Asian|Italian,medium
rest_000327,The Fisherman's Wharf,Sarjapur Road,"Seafood, Goan, North Indian, Continental, Asian",1400.0,4.4,4099,Seafood|Goan|North Indian|Continental|Asian,medium
rest_000328,Tipsy Bull - The Bar Exchange,Bellandur,"North Indian, Chinese, Continental, Mexican",1400.0,4.4,2182,North Indian|Chinese|Continental|Mexican,medium
rest_000329,Kanua,Sarjapur Road,"Konkan, Mangalorean, Seafood",1400.0,4.4,889,Konkan|Mangalorean|Seafood,medium
rest_000330,Tim Tai,Koramangala 5Th Block,"Chinese, Thai, Asian, Malaysian, Vietnamese, Sri Lankan, Burmese",1400.0,4.4,3667,Chinese|Thai|Asian|Malaysian|Vietnamese|Sri Lankan|Burmese,medium
rest_000331,Sigree Global Grill,Kalyan Nagar,"North Indian, Bbq",1400.0,4.4,1099,North Indian|Bbq,medium
rest_000332,Enchanted Garden,Whitefield,"North Indian, Continental, Italian, Cafe",1400.0,4.4,441,North Indian|Continental|Italian|Cafe,medium
rest_000333,La Casa Brewery And Kitchen,Sarjapur Road,"Finger Food, Continental, Seafood",1500.0,4.4,1381,Finger Food|Continental|Seafood,medium
rest_000334,Float,Marathahalli,"North Indian, Japanese",1500.0,4.4,3061,North Indian|Japanese,medium
rest_000335,Toscano,Lavelle Road,"Italian, Salad",1500.0,4.4,1840,Italian|Salad,medium
rest_000336,Farzi Cafe,Lavelle Road,Modern Indian,1500.0,4.4,2392,Modern Indian,medium
rest_000337,Punjab Bistro,Koramangala 7Th Block,North Indian,1500.0,4.4,455,North Indian,medium
rest_000338,Salt - Indian Restaurant Bar & Grill,Koramangala 7Th Block,"North Indian, Mughlai, Biryani",1500.0,4.4,677,North Indian|Mughlai|Biryani,medium
rest_000339,Fava Bistro,Koramangala 5Th Block,"Mediterranean, Pizza, Italian, Beverages",1500.0,4.4,383,Mediterranean|Pizza|Italian|Beverages,medium
rest_000340,Drava,Koramangala 5Th Block,"Pizza, Continental, North Indian, Asian",1500.0,4.4,110,Pizza|Continental|North Indian|Asian,medium
rest_000341,ANTIGRAVITY,Marathahalli,"Continental, North Indian, Chinese, Bbq",1500.0,4.4,730,Continental|North Indian|Chinese|Bbq,medium
